time_s,true_x_m,true_y_m,ideal_x_m,ideal_y_m,noise_x_m,noise_y_m,multipath_x_m,multipath_y_m,outage_x_m,outage_y_m,urban_x_m,urban_y_m,error_noise_m,error_multipath_m,error_outage_m,error_urban_m,noise_x_corrected,noise_y_corrected,multipath_x_corrected,multipath_y_corrected,outage_x_corrected,outage_y_corrected,urban_x_corrected,urban_y_corrected,error_noise_corrected_m,error_multipath_corrected_m,error_outage_corrected_m,error_urban_corrected_m,noise_x_kf,noise_y_kf,multipath_x_kf,multipath_y_kf,outage_x_kf,outage_y_kf,urban_x_kf,urban_y_kf,error_noise_kf_m,error_multipath_kf_m,error_outage_kf_m,error_urban_kf_m,true_vx_mps,true_vy_mps,ins_vx_mps,ins_vy_mps,ins_x_m,ins_y_m,error_ins_m,fused_x_m,fused_y_m,error_fused_m
84,67.2,15.846612990481638,67.2,15.846612990481638,65.58301279421363,14.328347667374242,63.71369691034565,12.917881663464408,65.58301279421363,14.328347667374242,64.4267657501472,17.11933095111825,2.2180570811021134,4.55321605228498,2.2180570811021134,3.051334005297301,67.55732542253249,15.357129961467836,63.73110302199078,12.906291960337061,67.55732542253249,15.357129961467836,67.98060345596515,17.463290856966676,0.6060322543236003,4.54738760216808,0.6060322543236003,1.7952685257218064,51.885193623556574,19.084971369595102,51.209019344405554,16.98741303792232,51.885193623556574,19.084971369595102,39.93488717085743,16.196156703353846,15.653442411799606,16.031621473694933,15.653442411799606,27.26735334411984,0.7999999999999972,-0.43769805986898014,0.7827862779923782,-0.5096115649484593,70.48287478524736,11.61811595095541,5.353265738677183,67.05297139152376,13.515278152448591,2.335966510619756
85,68.0,15.403674347828339,68.0,15.403674347828339,66.99648591283092,15.704461920780755,64.42004256708566,12.503279770089955,66.99648591283092,15.704461920780755,73.32256047638259,12.28212656191009,1.0476228745065643,4.607427039905554,1.0476228745065643,6.170389825977059,68.10393320102425,15.357882852266092,64.43791626801175,12.492486297803746,68.10393320102425,15.357882852266092,70.18279774535348,16.875023001953178,0.11357363840686759,4.600375677735608,0.11357363840686759,2.632389192181738,52.62231085046401,18.920072716141547,51.853442906341655,16.768680462561175,52.62231085046401,18.920072716141547,40.76952889374649,16.09831182417343,15.77461191485967,16.20415217381109,15.77461191485967,27.23932961532002,0.7999999999999972,-0.44795741968460767,0.6671146398309672,-0.45154694621841834,71.14998942507833,11.166569004736992,5.279724904439488,68.24253696650514,14.343094045967625,1.087958986734555
86,68.8,14.950698151112423,68.8,14.950698151112423,70.63080423540414,15.634210102666742,65.13533625300218,12.083280335259424,70.63080423540414,15.634210102666742,70.64875173687118,22.695543936058833,1.9542345653199742,4.653154339717442,1.9542345653199742,7.9624442991575375,68.62832559770193,15.347809271406536,65.15363286826532,12.073286317740326,68.62832559770193,15.347809271406536,71.87154570180451,17.208638480514285,0.4326307227482162,4.644942638851933,0.4326307227482162,3.812176219616972,53.5007279978051,18.75979511813343,52.50130625701034,16.54013631253151,53.5007279978051,18.75979511813343,41.516011635103816,16.263132707839215,15.766323081216916,16.37601085114276,15.766323081216916,27.315535974267114,0.8000000000000043,-0.45776865143363565,0.7201307019919357,-0.5936562112895016,71.87012012707027,10.57291279344749,5.347021809608359,71.00259900290398,14.115820909900966,2.3555174326432953
87,69.60000000000001,14.488137044961068,69.60000000000001,14.488137044961068,70.25750221931938,18.24047872339284,65.85978968976622,11.65828324781564,70.25750221931938,18.24047872339284,71.2322819214099,19.941949752415514,3.809511417505671,4.690122138921069,3.809511417505671,5.692839126389678,69.60413924559383,14.77969610537441,65.87846348735697,11.649091263317956,69.60413924559383,14.77969610537441,72.50304852315081,17.104918809854674,0.2915884412372966,4.680813493956032,0.2915884412372966,3.9083548371210797,54.31806923091704,18.73446454454919,53.15288985998183,16.30201531435853,54.31806923091704,18.73446454454919,42.257994985613074,16.354988817988513,15.86091754170619,16.546830099269197,15.86091754170619,27.405663169301633,0.8000000000000043,-0.4671229256697247,0.6481215303357288,-0.3754000288104573,72.518241657406,10.197512764637032,5.188987481766147,70.93572405074536,15.827588935766098,1.8916368857475663
88,70.4,14.016452299772974,70.4,14.016452299772974,69.34047959246593,15.917299976145074,66.59359170444195,11.228689683740605,69.34047959246593,15.917299976145074,76.67688551635216,15.28307250777814,2.176190566735918,4.718089074597981,2.176190566735918,6.4034067914445725,70.91189312942984,14.666393280729718,66.61259600959144,11.220301672790436,70.91189312942984,14.666393280729718,74.96151736794434,15.674158014401018,0.8273196810692262,4.707747584072191,0.8273196810692262,4.853393548267879,55.050797877656024,18.597055358395462,53.808469559689755,16.054560283220265,55.050797877656024,18.597055358395462,43.11692609979553,16.328238906633377,16.018112565880873,16.716242595270426,16.018112565880873,27.38084145455866,0.7999999999999972,-0.4760118241774691,1.143067003938225,-0.45829219657093,73.66130866134422,9.739220568066102,5.378740137920679,70.63672831312941,14.063876153721383,0.24143180436805214
89,71.2,13.53611339660613,71.2,13.53611339660613,72.22653486622671,12.382306085281323,67.33690775751745,10.794901787181495,72.22653486622671,12.382306085281323,76.68961960492317,15.992507619464545,1.5443591367443232,4.7368473441280825,1.5443591367443232,6.014133020215711,71.65466568648904,13.766829345541014,67.35619506936008,10.787319060959701,71.65466568648904,13.766829345541014,75.01229540522762,15.912400348685448,0.5098536413162812,4.725537709562124,0.5098536413162812,4.4922528797188175,55.88854006890312,18.293932547562108,54.46831568259794,15.798021781459614,55.88854006890312,18.293932547562108,43.95430282726787,16.319865030807282,16.03364114275946,16.88388254041909,16.03364114275946,27.387538910773664,0.7999999999999972,-0.48442734754818506,0.854666184534471,-0.6086470798140104,74.51597484587869,9.130573488252091,5.514024942145282,72.91336686012231,11.406786306172553,2.7330678468379985
90,72.0,13.047597604676604,72.0,13.047597604676604,72.19415509869609,11.250768261979887,68.08987952933961,10.357322355674162,72.19415509869609,11.250768261979887,74.52447465596946,16.41990034023735,1.807288546172304,4.746221972313617,1.807288546172304,4.212528697694842,72.09950446811766,13.704911741856696,68.10940163964042,10.350545604814949,72.09950446811766,13.704911741856696,76.55409867595066,14.364619425084838,0.6648029889464905,4.73400940974882,0.6648029889464905,4.740713155816003,56.68382812865514,17.95041011992225,55.132692160435155,15.532657777579916,56.68382812865514,17.95041011992225,44.71641144469518,16.32235889220233,16.08175025773702,17.049387021755237,16.08175025773702,27.47941531301998,0.7999999999999972,-0.4923619223788691,1.002530831381992,-0.3790129847396408,75.51850567726068,8.75156050351245,5.553000718124797,73.19146027226546,10.501005934439657,2.811531026915243
91,72.8,12.551389551848391,72.8,12.551389551848391,74.73728998106577,13.535227894861404,68.85262456598706,9.91635452977177,74.73728998106577,13.535227894861404,81.63604766370189,7.104005382942657,2.172793215177279,4.746070204350036,2.172793215177279,10.380256865745494,72.69354467874857,13.010620427912526,68.87233267963718,9.910383833553192,72.69354467874857,13.010620427912526,78.13464813974416,12.975174747461569,0.4714082444690358,4.733020365846101,0.4714082444690358,5.351454444064411,57.56435127344499,17.73506803376653,55.801855677482585,15.258733306014197,57.56435127344499,17.73506803376653,45.636376257095904,16.092655630596962,16.09333758804799,17.21239729417002,16.09333758804799,27.393484997103933,0.8000000000000043,-0.49980840808774474,0.6398971926484702,-0.34564815444077224,76.15840286990915,8.405912349071679,5.3351523947639485,75.16362384771878,11.996433231124486,2.427899135346517
92,73.60000000000001,12.047980788501114,73.60000000000001,12.047980788501114,72.1958938122453,9.40751437445983,69.62523598546615,9.472401487274809,72.1958938122453,9.40751437445983,73.67800673736559,13.949822901901094,2.990581393336603,4.736280999702057,2.990581393336603,1.9034412193120447,73.22675760892999,12.102607423126297,69.64508084244527,9.467236323177053,73.22675760892999,12.102607423126297,78.55243772353693,12.608165848445221,0.37721870539799657,4.7224599032807335,0.37721870539799657,4.984019131875008,58.27796643574597,17.328913416753505,56.47605484382959,14.976520127943118,58.27796643574597,17.328913416753505,46.33480464363552,16.039284439988755,16.20657156736946,17.37255998332404,16.20657156736946,27.555786736348104,0.8000000000000043,-0.5067601033402962,0.8571552694395549,-0.5415628078617233,77.01555813934871,7.864349541209956,5.400815476998094,73.64179311037633,8.944564924484867,3.1036972611874756
93,74.4,11.537869345167799,74.4,11.537869345167799,73.74467570680447,15.200786876876506,70.4077822449645,9.025866142246159,73.74467570680447,15.200786876876506,81.4413746319325,11.861077470854559,3.721077098549724,4.71677460719816,3.721077098549724,7.048788562563958,73.9647155643446,11.268866258806174,70.42771424346515,9.02150539585374,73.9647155643446,11.268866258806174,79.45807045988022,13.270387810874174,0.51169834902599,4.702248574562724,0.51169834902599,5.346559361975363,59.03230472128219,17.22512098764909,57.15552939644144,14.686296393422587,59.03230472128219,17.22512098764909,47.20882461255949,15.93526298968649,16.386301883720805,17.529528210285008,16.386301883720805,27.544456607735146,0.7999999999999972,-0.5132107520800187,1.0066792908212838,-0.5654582088246023,78.02223743017,7.298891332385353,5.5757993681065585,75.02794422381413,12.830218213529161,1.4368296857235439
